Returned,Order ID,Market,Customer Name,State,Country,Sub-Category,Product Name,Ship Duration
Yes,CA-2014-101700,United States,Sean O'Donnell,Colorado,United States,Envelopes,Staples,3
Yes,CA-2014-117212,United States,Bradley Talbott,California,United States,Phones,Toshiba IPT2010-SD IP Telephone,2
Yes,CA-2014-152660,United States,Christy Brittain,Illinois,United States,Storage,Advantus Rolling Drawer Organizers,5
Yes,CA-2014-142328,United States,Tracy Collins,California,United States,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",7
Yes,CA-2012-146262,United States,Victoria Wilson,Ohio,United States,Machines,Cisco 9971 IP Video Phone Charcoal,7
Yes,CA-2012-144267,United States,Nick Zandusky,California,United States,Chairs,Hon GuestStacker Chair,2
Yes,CA-2014-158729,United States,Amy Cox,Louisiana,United States,Supplies,Martin Yale Chadless Opener Electric Letter Opener,2
Yes,CA-2013-151323,United States,Alejandro Ballentine,Washington,United States,Fasteners,Advantus SlideClip Paper Clips,5
Yes,CA-2012-168480,United States,Dario Medina,Michigan,United States,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,6
Yes,CA-2014-115994,United States,Beth Thompson,California,United States,Accessories,Logitech G13 Programmable Gameboard with LCD Display,3
Yes,CA-2012-157812,United States,Dean Braden,Texas,United States,Storage,Carina Double Wide Media Storage Towers in Natural & Black,4
Yes,CA-2014-132346,United States,Pete Kriz,Delaware,United States,Appliances,Holmes Odor Grabber,4
Yes,CA-2012-143490,United States,Naresj Patel,California,United States,Phones,AT&T 1080 Corded phone,7
Yes,CA-2014-121258,United States,Dave Brooks,California,United States,Phones,Aastra 57i VoIP phone,5
Yes,CA-2014-118542,United States,Clay Cheatham,California,United States,Paper,Xerox 1905,4
Yes,US-2013-114230,United States,Chris McAfee,Arizona,United States,Storage,Eldon Simplefile Box Office,4
Yes,CA-2014-165491,United States,Helen Wasserman,Washington,United States,Accessories,Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB,4
Yes,CA-2013-114727,United States,Linda Southworth,Colorado,United States,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,6
Yes,CA-2012-101910,United States,Carlos Daly,California,United States,Chairs,"Situations Contoured Folding Chairs, 4/Set",6
Yes,CA-2013-162159,United States,Corey Roper,Georgia,United States,Chairs,"Global Value Mid-Back Manager's Chair, Gray",2
Yes,CA-2014-154949,United States,Marc Crier,California,United States,Labels,Avery 478,4
Yes,CA-2011-157924,United States,Helen Andreada,California,United States,Chairs,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,2
Yes,CA-2014-157196,United States,Anna Andreadi,California,United States,Paper,Xerox 1996,4
Yes,CA-2013-147375,United States,Philisse Overcash,Illinois,United States,Machines,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",2
Yes,US-2013-119046,United States,Edward Hooks,Washington,United States,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",4
Yes,CA-2014-147452,United States,Cari Sayre,Washington,United States,Paper,Xerox 1882,3
Yes,CA-2011-103373,United States,Bruce Stewart,Ohio,United States,Phones,Apple iPhone 5,6
Yes,CA-2011-104829,United States,John Grady,Utah,United States,Paper,"Adams ""While You Were Out"" Message Pads",3
Yes,CA-2014-145128,United States,Sean Miller,Indiana,United States,Furnishings,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,5
Yes,US-2013-105578,United States,Maribeth Yedwab,Colorado,United States,Chairs,Global Troy Executive Leather Low-Back Tilter,5
Yes,US-2011-164763,United States,Mark Haberlin,Mississippi,United States,Binders,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",4
Yes,CA-2012-103716,United States,Ken Black,California,United States,Art,Newell 324,6
Yes,CA-2013-123526,United States,Benjamin Venier,Washington,United States,Paper,Xerox 1898,1
Yes,CA-2013-111682,United States,Ted Butterfield,New York,United States,Chairs,Novimex Turbo Task Chair,1
Yes,CA-2014-140585,United States,Russell Applegate,California,United States,Accessories,Logitech Illuminated - Keyboard,5
Yes,CA-2013-105585,United States,Roland Fjeld,California,United States,Paper,Xerox 1979,1
Yes,US-2012-136987,United States,Andy Reiter,California,United States,Copiers,Canon PC-428 Personal Copier,3
Yes,CA-2013-134775,United States,Alejandro Savely,California,United States,Binders,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",1
Yes,CA-2013-136924,United States,Erin Smith,Arizona,United States,Phones,LG Electronics Tone+ HBS-730 Bluetooth Headset,3
Yes,CA-2014-123491,United States,Jamie Kunitz,California,United States,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",6
Yes,CA-2011-100867,United States,Eugene Hildebrand,California,United States,Phones,RCA Visys Integrated PBX 8-Line Router,5
Yes,US-2014-118087,United States,Stefania Perrino,Pennsylvania,United States,Phones,Samsung Galaxy Note 2,4
Yes,CA-2013-130680,United States,Bill Donatelli,California,United States,Phones,Macally Suction Cup Mount,5
Yes,CA-2014-112865,United States,Brosina Hoffman,Pennsylvania,United States,Accessories,KeyTronic KT800P2 - Keyboard - Black,4
Yes,CA-2011-141726,United States,Charles Crestani,California,United States,Paper,Xerox 189,2
Yes,CA-2013-114307,United States,Maureen Fritzler,Maryland,United States,Paper,Xerox 216,4
Yes,CA-2014-159954,United States,Shahid Shariari,Georgia,United States,Binders,Wilson Jones Suede Grain Vinyl Binders,4
Yes,CA-2014-100111,United States,Seth Vernon,New York,United States,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,6
Yes,CA-2013-138282,United States,Anna Häberlin,California,United States,Appliances,Staples,4
Yes,CA-2013-115917,United States,Rick Bensley,California,United States,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,5
Yes,US-2011-164406,United States,Brian Dahlen,California,United States,Appliances,Tripp Lite TLP810NET Broadband Surge for Modem/Fax,4
Yes,CA-2014-121853,United States,Duane Benoit,California,United States,Chairs,GuestStacker Chair with Chrome Finish Legs,6
Yes,CA-2013-150077,United States,Maribeth Schnelling,Maryland,United States,Phones,AT&T 17929 Lendline Telephone,6
Yes,CA-2013-166275,United States,Sonia Sunley,California,United States,Accessories,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,0
Yes,CA-2011-159338,United States,Noel Staavos,California,United States,Tables,Hon 4060 Series Tables,3
Yes,CA-2012-146486,United States,Dianna Vittorini,New York,United States,Accessories,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),5
Yes,CA-2011-151162,United States,Erin Ashbrook,Ohio,United States,Phones,Panasonic KX T7736-B Digital phone,4
Yes,CA-2011-111871,United States,Eileen Kiefer,California,United States,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",3
Yes,CA-2013-142398,United States,Beth Paige,California,United States,Chairs,Hon Comfortask Task/Swivel Chairs,4
Yes,US-2014-136679,LATAM,Xylona Preis,Texas,United States,Art,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",4
Yes,CA-2012-161627,United States,Sarah Jordon,California,United States,Chairs,Novimex Turbo Task Chair,5
Yes,US-2012-136749,United States,Lena Hernandez,Georgia,United States,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,2
Yes,CA-2014-107825,United States,Nona Balk,Wisconsin,United States,Storage,"Decoflex Hanging Personal Folder File, Blue",0
Yes,CA-2011-126361,United States,Valerie Dominguez,Utah,United States,Appliances,Hoover WindTunnel Plus Canister Vacuum,5
Yes,CA-2014-131807,United States,Greg Guthrie,California,United States,Chairs,Global Deluxe High-Back Office Chair in Storm,5
Yes,CA-2011-143840,United States,Evan Henry,Alabama,United States,Phones,Nortel Networks T7316 E Nt8 B27,7
Yes,CA-2014-155712,United States,Ken Dana,California,United States,Binders,Catalog Binders with Expanding Posts,6
Yes,CA-2011-127131,United States,Harold Ryan,Washington,United States,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit",6
Yes,US-2011-105137,United States,Richard Bierner,Ohio,United States,Machines,Hewlett-Packard Deskjet F4180 All-in-One Color Ink-jet - Printer / copier / scanner,0
Yes,CA-2014-137428,United States,Andy Yotov,California,United States,Chairs,"Global Value Steno Chair, Gray",5
Yes,CA-2013-124527,United States,Ionia McGrath,California,United States,Binders,Round Ring Binders,1
Yes,CA-2014-150910,United States,Jack Lebron,Tennessee,United States,Tables,"Bevis Round Bullnose 29"" High Table Top",6
Yes,CA-2013-151372,United States,Joseph Holt,California,United States,Paper,14-7/8 x 11 Blue Bar Computer Printout Paper,1
Yes,CA-2012-156440,United States,Matt Hagelstein,California,United States,Furnishings,"Executive Impressions 14"" Contract Wall Clock",4
Yes,CA-2013-130477,United States,Logan Currie,California,United States,Storage,Fellowes Neat Ideas Storage Cubes,4
Yes,CA-2011-148950,United States,Joy Daniels,Illinois,United States,Accessories,Belkin Standard 104 key USB Keyboard,5
Yes,CA-2014-112753,United States,Craig Carreira,California,United States,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",5
Yes,CA-2014-166142,United States,Magdelene Morse,Delaware,United States,Tables,Hon 2111 Invitation Series Straight Table,4
Yes,CA-2013-105081,United States,Joe Elijah,Washington,United States,Tables,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",5
Yes,CA-2013-109806,United States,Jim Sink,California,United States,Phones,Panasonic Kx-TS550,5
Yes,CA-2011-152345,United States,Shui Tom,New Mexico,United States,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,5
Yes,CA-2014-122504,United States,Deborah Brumfield,California,United States,Phones,"Plantronics CS 50-USB - headset - Convertible, Monaural",5
Yes,CA-2012-124058,United States,Lena Creighton,California,United States,Chairs,Safco Contoured Stacking Chairs,4
Yes,CA-2012-139731,United States,Joel Eaton,Texas,United States,Chairs,HON 5400 Series Task Chairs for Big and Tall,0
Yes,CA-2012-123568,United States,Sanjit Chand,Utah,United States,Binders,Deluxe Heavy-Duty Vinyl Round Ring Binder,6
Yes,CA-2014-169327,United States,Marc Harrigan,California,United States,Furnishings,Luxo Professional Combination Clamp-On Lamps,2
Yes,US-2013-151827,United States,Carlos Soltero,Pennsylvania,United States,Phones,LG Exalt,2
Yes,CA-2013-136483,United States,Allen Goldenen,Tennessee,United States,Art,Newell 343,5
Yes,CA-2012-134201,United States,Eugene Hildebrand,New York,United States,Storage,Steel Personal Filing/Posting Tote,6
Yes,CA-2014-150609,United States,Nick Zandusky,California,United States,Binders,Fellowes Black Plastic Comb Bindings,4
Yes,CA-2012-109736,United States,Denny Joy,California,United States,Paper,Xerox 1894,1
Yes,CA-2012-168564,United States,Thomas Thornton,California,United States,Chairs,Global Ergonomic Managers Chair,0
Yes,CA-2014-101273,United States,Shui Tom,Florida,United States,Appliances,Hoover Portapower Portable Vacuum,3
Yes,US-2011-138758,United States,John Lee,Pennsylvania,United States,Chairs,"Global High-Back Leather Tilter, Burgundy",4
Yes,CA-2014-169894,United States,Mark Van Huff,Arizona,United States,Storage,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,5
Yes,CA-2012-107678,United States,Juliana Krohn,Kentucky,United States,Phones,Jabra SPEAK 410,7
Yes,CA-2014-140053,United States,Christina Anderson,New Mexico,United States,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",7
Yes,CA-2011-100762,United States,Nat Gilpin,Michigan,United States,Paper,Xerox 1885,5
Yes,CA-2014-142888,United States,Benjamin Patterson,Washington,United States,Tables,Safco Drafting Table,4
Yes,CA-2012-146255,United States,Eugene Moren,Delaware,United States,Phones,LG G3,3
Yes,CA-2013-145583,United States,Lena Creighton,California,United States,Binders,GBC Wire Binding Strips,6
Yes,CA-2014-136308,United States,Mitch Willingham,California,United States,Machines,Bady BDG101FRU Card Printer,0
Yes,CA-2012-130456,United States,David Smith,California,United States,Bookcases,Sauder Camden County Collection Library,5
Yes,CA-2011-164861,United States,Matthew Clasen,Missouri,United States,Paper,Xerox 214,3
Yes,CA-2011-148614,United States,Mark Van Huff,California,United States,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",5
Yes,CA-2011-153150,United States,Dorris liebe,Washington,United States,Binders,Cardinal Holdit Business Card Pockets,5
Yes,CA-2013-116547,United States,Ken Black,Washington,United States,Accessories,Logitech Media Keyboard K200,7
Yes,CA-2012-150770,United States,Lena Cacioppo,California,United States,Accessories,Logitech Gaming G510s - Keyboard,3
Yes,CA-2011-143336,United States,Zuschuss Donatelli,California,United States,Phones,Cisco SPA 501G IP Phone,5
Yes,CA-2014-113670,United States,Roland Schwarz,California,United States,Tables,Bush Advantage Collection Round Conference Table,2
Yes,CA-2013-148796,United States,Philip Brown,California,United States,Chairs,Bevis Steel Folding Chairs,4
Yes,CA-2012-116092,United States,Justin MacKendrick,California,United States,Appliances,Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,3
Yes,CA-2014-117926,United States,Alan Schoenberger,California,United States,Appliances,Belkin 8-Outlet Premiere SurgeMaster II Surge Protectors,4
Yes,CA-2012-105158,United States,Sung Pak,Minnesota,United States,Paper,Xerox 1881,5
Yes,US-2014-155999,United States,Jay Kimmel,California,United States,Phones,GE DSL Phone Line Filter,6
Yes,CA-2011-160773,United States,Laurel Workman,Florida,United States,Phones,Wilson SignalBoost 841262 DB PRO Amplifier Kit,4
Yes,CA-2012-169397,United States,Joni Blumstein,Ohio,United States,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,3
Yes,CA-2014-144064,United States,Cathy Prescott,Illinois,United States,Labels,Avery 505,3
Yes,US-2011-150574,United States,Mike Kennedy,Florida,United States,Accessories,Belkin QODE FastFit Bluetooth Keyboard,6
Yes,CA-2013-104689,United States,Fred Hopkins,California,United States,Art,"Sanford Colorific Colored Pencils, 12/Box",4
Yes,CA-2013-112123,United States,Brosina Hoffman,Delaware,United States,Phones,Pyle PMP37LED,5
Yes,US-2014-123834,United States,Gene McClure,Texas,United States,Tables,Hon 61000 Series Interactive Training Tables,4
Yes,CA-2012-135580,United States,Clay Ludtke,California,United States,Machines,Zebra GX420t Direct Thermal/Thermal Transfer Printer,4
Yes,CA-2013-112340,United States,Neoma Murray,California,United States,Paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",6
Yes,CA-2011-124688,United States,Corey Catlett,Virginia,United States,Tables,Bretford CR8500 Series Meeting Room Furniture,2
Yes,CA-2014-101574,United States,Bruce Degenhardt,California,United States,Furnishings,Longer-Life Soft White Bulbs,6
Yes,CA-2013-130638,United States,Sanjit Chand,California,United States,Furnishings,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",3
Yes,CA-2014-169859,United States,Mike Pelletier,California,United States,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",4
Yes,CA-2013-159212,United States,Katherine Murray,Virginia,United States,Envelopes,Airmail Envelopes,4
Yes,CA-2014-161459,United States,Edward Becker,California,United States,Phones,PayAnywhere Card Reader,4
Yes,CA-2011-103940,United States,Bradley Nguyen,Washington,United States,Binders,GBC Prestige Therm-A-Bind Covers,4
Yes,CA-2014-137085,United States,Carol Triggs,California,United States,Binders,Satellite Sectional Post Binders,7
Yes,US-2012-126214,United States,John Stevenson,Washington,United States,Tables,Bevis 36 x 72 Conference Tables,3
Yes,CA-2014-117513,United States,Bill Tyler,California,United States,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",5
Yes,US-2014-107888,United States,Chris Cortes,Washington,United States,Furnishings,"Tenex ""The Solids"" Textured Chair Mats",3
Yes,CA-2012-132374,United States,Penelope Sewall,Michigan,United States,Art,Newell 34,2
Yes,CA-2013-128671,United States,Michelle Tran,Oklahoma,United States,Binders,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",5
Yes,CA-2011-123253,United States,Deanra Eno,Ohio,United States,Art,Faber Castell Col-Erase Pencils,3
Yes,CA-2012-138674,United States,Ken Black,Oregon,United States,Accessories,Plantronics Audio 478 Stereo USB Headset,3
Yes,US-2013-148957,United States,Chuck Clark,Washington,United States,Labels,Avery 481,6
Yes,US-2014-147886,United States,Dave Hallsten,California,United States,Storage,SAFCO Boltless Steel Shelving,3
Yes,CA-2014-135692,United States,Cynthia Voltz,Texas,United States,Bookcases,Sauder Barrister Bookcases,4
Yes,CA-2014-118122,United States,Greg Guthrie,Washington,United States,Binders,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",7
Yes,US-2013-156986,United States,Zuschuss Carroll,Oregon,United States,Phones,i.Sound Portable Power - 8000 mAh,4
Yes,CA-2014-111556,United States,Carlos Daly,New York,United States,Phones,Samsung Galaxy Mega 6.3,2
Yes,CA-2014-127306,United States,Brosina Hoffman,Tennessee,United States,Phones,iHome FM Clock Radio with Lightning Dock,4
Yes,CA-2013-118899,United States,Marc Crier,Washington,United States,Chairs,"Global Stack Chair with Arms, Black",0
Yes,CA-2013-161746,United States,Carlos Soltero,California,United States,Storage,SAFCO Boltless Steel Shelving,6
Yes,US-2011-143287,United States,Kristina Nunn,New York,United States,Paper,Xerox 1882,6
Yes,CA-2011-142769,United States,Resi Pölking,Washington,United States,Accessories,WD My Passport Ultra 500GB Portable External Hard Drive,0
Yes,CA-2013-109869,United States,Tanja Norvell,Arizona,United States,Tables,Bush Advantage Collection Racetrack Conference Table,7
Yes,CA-2014-115427,United States,Erica Bern,California,United States,Binders,GBC Binding covers,4
Yes,CA-2013-133368,United States,Anna Gayman,North Carolina,United States,Furnishings,Electrix Fluorescent Magnifier Lamps & Weighted Base,6
Yes,US-2012-128090,United States,John Murray,Arizona,United States,Phones,Samsung Galaxy S4 Mini,6
Yes,CA-2014-131618,United States,Luke Schmidt,Illinois,United States,Binders,Fellowes Binding Cases,3
Yes,CA-2012-148873,United States,Eric Murdock,Illinois,United States,Accessories,Lenovo 17-Key USB Numeric Keypad,4
Yes,CA-2013-145982,United States,Ted Butterfield,Massachusetts,United States,Tables,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",5
Yes,CA-2014-165008,United States,Doug O'Connell,Utah,United States,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",2
Yes,CA-2014-122007,United States,Jason Klamczynski,California,United States,Appliances,Fellowes Basic Home/Office Series Surge Protectors,2
Yes,CA-2013-133319,United States,Mark Van Huff,New York,United States,Paper,Xerox 1885,6
Yes,CA-2014-128965,United States,Pamela Stobb,California,United States,Chairs,"Global Wood Trimmed Manager's Task Chair, Khaki",5
