Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,Ship Duration,Returned
43665,CA-2013-8840,7/30/2013,7/30/2013,Same Day,AG-270,Alejandro Grove,Consumer,Abbotsford,British Columbia,Canada,Canada,Canada,OFF-FEL-10002399,Office Supplies,Storage,"Fellowes Box, Blue",196.8,10,0,31.2,18.7,Medium,0,No
43667,CA-2013-8840,7/30/2013,7/30/2013,Same Day,AG-270,Alejandro Grove,Consumer,Abbotsford,British Columbia,Canada,Canada,Canada,OFF-ACC-10004538,Office Supplies,Binders,"Acco Binder Covers, Recycled",54.72,4,0,16.32,12.43,Medium,0,No
43666,CA-2013-8840,7/30/2013,7/30/2013,Same Day,AG-270,Alejandro Grove,Consumer,Abbotsford,British Columbia,Canada,Canada,Canada,OFF-BIC-10001211,Office Supplies,Art,"BIC Highlighters, Water Color",44.22,2,0,7.92,4.72,Medium,0,No
43034,CA-2012-7440,9/27/2012,10/4/2012,Standard Class,AA-375,Allen Armold,Consumer,Montréal,Quebec,Canada,Canada,Canada,OFF-CAR-10001746,Office Supplies,Binders,"Cardinal Index Tab, Clear",26.88,4,0,11.28,2.25,Medium,7,No
50876,CA-2012-2020,6/25/2012,6/29/2012,Standard Class,AC-450,Amy Cox,Consumer,Regina,Saskatchewan,Canada,Canada,Canada,OFF-WIL-10002772,Office Supplies,Binders,"Wilson Jones 3-Hole Punch, Durable",117.96,4,0,24.72,9.86,High,4,No
48416,CA-2012-8950,4/2/2012,4/6/2012,Standard Class,AC-450,Amy Cox,Consumer,Mississauga,Ontario,Canada,Canada,Canada,OFF-ACC-10004322,Office Supplies,Binders,"Acco Binder, Clear",29.22,2,0,9.6,2.81,High,4,No
46561,CA-2012-9650,6/7/2012,6/11/2012,Standard Class,AA-480,Andrew Allen,Consumer,Toronto,Ontario,Canada,Canada,Canada,OFF-HAM-10004917,Office Supplies,Appliances,"Hamilton Beach Stove, Red",1084.68,2,0,488.1,109.66,Medium,4,No
41479,CA-2014-5020,11/13/2014,11/13/2014,Same Day,AG-495,Andrew Gjertsen,Corporate,Oakville,Ontario,Canada,Canada,Canada,OFF-IBI-10001494,Office Supplies,Binders,"Ibico Index Tab, Durable",9.27,1,0,4.05,2.21,High,0,No
46679,CA-2014-9070,3/10/2014,3/13/2014,First Class,AG-495,Andrew Gjertsen,Corporate,Edmonton,Alberta,Canada,Canada,Canada,OFF-HAM-10003628,Office Supplies,Appliances,"Hamilton Beach Coffee Grinder, Red",42.66,1,0,5.1,4.89,Medium,3,No
43635,CA-2013-9220,12/19/2013,12/24/2013,Standard Class,AM-705,Anne McFarland,Consumer,Mississauga,Ontario,Canada,Canada,Canada,OFF-BIN-10000837,Office Supplies,Art,"Binney & Smith Markers, Easy-Erase",24.36,1,0,9.72,1.38,Medium,5,No
42976,CA-2012-2760,10/7/2012,10/9/2012,Second Class,AZ-750,Annie Zypern,Consumer,Ottawa,Ontario,Canada,Canada,Canada,OFF-ELD-10000124,Office Supplies,Storage,"Eldon Trays, Single Width",96,2,0,31.68,11.09,High,2,No
50583,CA-2013-8420,6/6/2013,6/6/2013,Same Day,AJ-780,Anthony Jacobs,Corporate,Brampton,Ontario,Canada,Canada,Canada,FUR-DEF-10000622,Furniture,Furnishings,"Deflect-O Light Bulb, Black",18.99,1,0,6.81,4.21,High,0,No
50856,CA-2014-4510,1/24/2014,1/28/2014,Standard Class,AO-810,Anthony O'Donnell,Corporate,North York,Ontario,Canada,Canada,Canada,TEC-CIS-10002598,Technology,Phones,"Cisco Audio Dock, with Caller ID",364.14,2,0,80.1,44.6,Medium,4,No
50857,CA-2014-4510,1/24/2014,1/28/2014,Standard Class,AO-810,Anthony O'Donnell,Corporate,North York,Ontario,Canada,Canada,Canada,OFF-EAT-10000820,Office Supplies,Paper,"Eaton Message Books, Multicolor",21.99,1,0,10.11,1.07,Medium,4,No
43459,CA-2012-200,11/26/2012,11/30/2012,Standard Class,AF-870,Art Ferguson,Consumer,Peterborough,Ontario,Canada,Canada,Canada,OFF-BIC-10004826,Office Supplies,Art,"BIC Canvas, Easy-Erase",107.94,2,0,36.66,11.91,High,4,No
43460,CA-2012-200,11/26/2012,11/30/2012,Standard Class,AF-870,Art Ferguson,Consumer,Peterborough,Ontario,Canada,Canada,Canada,OFF-BIC-10002722,Office Supplies,Art,"BIC Pens, Water Color",17.46,1,0,7.14,3.5,High,4,No
46744,CA-2014-3040,6/27/2014,7/2/2014,Standard Class,BW-1065,Barry Weirich,Consumer,North York,Ontario,Canada,Canada,Canada,OFF-SME-10001853,Office Supplies,Storage,"Smead Folders, Blue",69.96,4,0,8.28,3.49,Medium,5,No
50638,CA-2012-5670,6/29/2012,7/3/2012,Second Class,BF-1080,Bart Folk,Consumer,Edmonton,Alberta,Canada,Canada,Canada,TEC-HEW-10003829,Technology,Copiers,"Hewlett Wireless Fax, High-Speed",1513.56,4,0,741.6,184.84,High,4,No
50641,CA-2012-5670,6/29/2012,7/3/2012,Second Class,BF-1080,Bart Folk,Consumer,Edmonton,Alberta,Canada,Canada,Canada,OFF-HOO-10000445,Office Supplies,Appliances,"Hoover Refrigerator, Black",525.69,1,0,162.96,53.73,High,4,No
50639,CA-2012-5670,6/29/2012,7/3/2012,Second Class,BF-1080,Bart Folk,Consumer,Edmonton,Alberta,Canada,Canada,Canada,TEC-MEM-10002919,Technology,Accessories,"Memorex Flash Drive, USB",118.44,4,0,10.56,18.62,High,4,No
50640,CA-2012-5670,6/29/2012,7/3/2012,Second Class,BF-1080,Bart Folk,Consumer,Edmonton,Alberta,Canada,Canada,Canada,OFF-CAR-10000319,Office Supplies,Binders,"Cardinal Binder Covers, Recycled",12.36,1,0,5.55,1.89,High,4,No
50642,CA-2012-5670,6/29/2012,7/3/2012,Second Class,BF-1080,Bart Folk,Consumer,Edmonton,Alberta,Canada,Canada,Canada,OFF-AVE-10002024,Office Supplies,Binders,"Avery Index Tab, Durable",13.38,2,0,3.42,1.08,High,4,No
47360,CA-2011-4310,6/25/2011,6/28/2011,First Class,BW-1110,Bart Watters,Corporate,Toronto,Ontario,Canada,Canada,Canada,OFF-SAN-10004746,Office Supplies,Art,"Sanford Highlighters, Fluorescent",17.01,1,0,7.14,0.41,Critical,3,No
43323,CA-2012-5460,5/1/2012,5/3/2012,First Class,BP-1155,Becky Pak,Consumer,Edmonton,Alberta,Canada,Canada,Canada,OFF-KRA-10001807,Office Supplies,Envelopes,"Kraft Manila Envelope, Security-Tint",115.56,4,0,9.24,33.91,Critical,2,No
43322,CA-2012-5460,5/1/2012,5/3/2012,First Class,BP-1155,Becky Pak,Consumer,Edmonton,Alberta,Canada,Canada,Canada,FUR-DEF-10000639,Furniture,Furnishings,"Deflect-O Photo Frame, Black",51.9,1,0,11.4,9.99,Critical,2,No
43321,CA-2012-5460,5/1/2012,5/3/2012,First Class,BP-1155,Becky Pak,Consumer,Edmonton,Alberta,Canada,Canada,Canada,OFF-SME-10000018,Office Supplies,Labels,"Smead Round Labels, Laser Printer Compatible",6.9,1,0,2.46,1.52,Critical,2,No
50103,CA-2014-7680,1/13/2014,1/15/2014,Second Class,BT-1530,Bradley Talbott,Home Office,North York,Ontario,Canada,Canada,Canada,FUR-IKE-10001301,Furniture,Bookcases,"Ikea Stackable Bookrack, Pine",743.58,6,0,371.7,120.86,High,2,No
50104,CA-2014-7680,1/13/2014,1/15/2014,Second Class,BT-1530,Bradley Talbott,Home Office,North York,Ontario,Canada,Canada,Canada,OFF-IBI-10003191,Office Supplies,Binders,"Ibico 3-Hole Punch, Durable",63.9,2,0,23.64,13.78,High,2,No
50105,CA-2014-7680,1/13/2014,1/15/2014,Second Class,BT-1530,Bradley Talbott,Home Office,North York,Ontario,Canada,Canada,Canada,OFF-SAN-10002639,Office Supplies,Art,"Sanford Markers, Easy-Erase",23.52,1,0,0.45,1.59,High,2,No
48446,CA-2011-9140,11/4/2011,11/7/2011,Second Class,BM-1650,Brian Moss,Corporate,Vaughan,Ontario,Canada,Canada,Canada,OFF-OIC-10000988,Office Supplies,Fasteners,"OIC Rubber Bands, Metal",17.19,1,0,6.51,0.69,Medium,3,No
44834,CA-2013-9380,6/21/2013,6/25/2013,Standard Class,CL-1890,Carl Ludwig,Consumer,Toronto,Ontario,Canada,Canada,Canada,OFF-TEN-10004210,Office Supplies,Storage,"Tenex Trays, Wire Frame",53.28,1,0,26.64,5.99,Medium,4,No
42668,CA-2014-5160,5/9/2014,5/15/2014,Standard Class,CS-1950,Carlos Soltero,Consumer,Gatineau,Quebec,Canada,Canada,Canada,OFF-BIN-10001715,Office Supplies,Art,"Binney & Smith Canvas, Easy-Erase",51.63,1,0,8.76,4.06,Medium,6,No
48214,CA-2011-2590,5/21/2011,5/28/2011,Standard Class,CS-1950,Carlos Soltero,Consumer,Vancouver,British Columbia,Canada,Canada,Canada,OFF-AVE-10002892,Office Supplies,Binders,"Avery 3-Hole Punch, Recycled",28.23,1,0,0,3.39,Medium,7,No
45077,CA-2014-870,4/20/2014,4/25/2014,Second Class,CD-1980,Carol Darley,Consumer,Oakville,Ontario,Canada,Canada,Canada,FUR-HAR-10002223,Furniture,Chairs,"Harbour Creations Chairmat, Set of Two",148.5,2,0,19.26,15.76,Medium,5,No
44112,CA-2013-2360,2/20/2013,2/24/2013,Standard Class,CD-1980,Carol Darley,Consumer,Barrie,Ontario,Canada,Canada,Canada,OFF-SME-10000018,Office Supplies,Labels,"Smead Round Labels, Laser Printer Compatible",6.9,1,0,2.46,0.57,Medium,4,No
44974,CA-2012-6570,7/17/2012,7/21/2012,Standard Class,CJ-2010,Caroline Jumper,Consumer,Coquitlam,British Columbia,Canada,Canada,Canada,FUR-DEF-10001359,Furniture,Furnishings,"Deflect-O Frame, Erganomic",108.66,1,0,2.16,6.53,Medium,4,No
49953,CA-2012-9170,4/16/2012,4/19/2012,First Class,CA-2055,Cathy Armstrong,Home Office,Whitby,Ontario,Canada,Canada,Canada,OFF-CUI-10000140,Office Supplies,Appliances,"Cuisinart Microwave, Silver",558.42,2,0,0,60.8,Medium,3,No
49954,CA-2012-9170,4/16/2012,4/19/2012,First Class,CA-2055,Cathy Armstrong,Home Office,Whitby,Ontario,Canada,Canada,Canada,TEC-CIS-10002153,Technology,Phones,"Cisco Audio Dock, Cordless",369.84,2,0,48.06,28.34,Medium,3,No
49952,CA-2012-9170,4/16/2012,4/19/2012,First Class,CA-2055,Cathy Armstrong,Home Office,Whitby,Ontario,Canada,Canada,Canada,TEC-LOG-10003254,Technology,Accessories,"Logitech Keyboard, Programmable",73.95,1,0,7.38,6.3,Medium,3,No
50429,CA-2013-3530,11/9/2013,11/14/2013,Standard Class,CP-2085,Cathy Prescott,Corporate,Saanich,British Columbia,Canada,Canada,Canada,TEC-PAN-10002365,Technology,Machines,"Panasonic Printer, White",529.8,2,0,116.52,32.92,Medium,5,No
50428,CA-2013-3530,11/9/2013,11/14/2013,Standard Class,CP-2085,Cathy Prescott,Corporate,Saanich,British Columbia,Canada,Canada,Canada,FUR-BEV-10000388,Furniture,Tables,"Bevis Coffee Table, Rectangular",315.75,1,0,129.45,28.79,Medium,5,No
50430,CA-2013-3530,11/9/2013,11/14/2013,Standard Class,CP-2085,Cathy Prescott,Corporate,Saanich,British Columbia,Canada,Canada,Canada,OFF-GLO-10002982,Office Supplies,Envelopes,"GlobeWeis Mailers, Set of 50",38.55,1,0,0.36,0.95,Medium,5,No
41437,CA-2012-2920,3/20/2012,3/25/2012,Second Class,CS-2130,Chad Sievert,Consumer,Edmonton,Alberta,Canada,Canada,Canada,FUR-TEN-10003900,Furniture,Furnishings,"Tenex Stacking Tray, Durable",25.23,1,0,6.03,0.99,Medium,5,No
42900,CA-2013-170,9/2/2013,9/4/2013,First Class,CC-2220,Chris Cortes,Consumer,Toronto,Ontario,Canada,Canada,Canada,FUR-BEV-10004919,Furniture,Tables,"Bevis Wood Table, with Bottom Storage",533.61,1,0,170.73,133.38,Critical,2,No
48077,CA-2013-9160,7/22/2013,7/24/2013,First Class,CC-2220,Chris Cortes,Consumer,Vaughan,Ontario,Canada,Canada,Canada,OFF-STI-10002262,Office Supplies,Supplies,"Stiletto Box Cutter, High Speed",35.97,1,0,7.89,6.54,High,2,No
48076,CA-2013-9160,7/22/2013,7/24/2013,First Class,CC-2220,Chris Cortes,Consumer,Vaughan,Ontario,Canada,Canada,Canada,OFF-CAR-10001471,Office Supplies,Binders,"Cardinal 3-Hole Punch, Clear",282.6,10,0,59.1,1.55,High,2,No
43945,CA-2013-8120,3/16/2013,3/20/2013,Second Class,CC-2220,Chris Cortes,Consumer,Vancouver,British Columbia,Canada,Canada,Canada,OFF-SAN-10004824,Office Supplies,Art,"Sanford Pencil Sharpener, Water Color",26.1,1,0,6.78,3.35,High,4,No
41635,CA-2012-4520,8/29/2012,9/2/2012,Standard Class,CC-2220,Chris Cortes,Consumer,Laval,Quebec,Canada,Canada,Canada,OFF-TEN-10003948,Office Supplies,Storage,"Tenex Box, Blue",16.5,1,0,4.11,2.18,High,4,No
41634,CA-2012-4520,8/29/2012,9/2/2012,Standard Class,CC-2220,Chris Cortes,Consumer,Laval,Quebec,Canada,Canada,Canada,OFF-BIC-10003473,Office Supplies,Art,"BIC Markers, Fluorescent",27.69,1,0,2.19,1.96,High,4,No
49149,CA-2011-3790,6/24/2011,6/27/2011,First Class,CC-2220,Chris Cortes,Consumer,Saskatoon,Saskatchewan,Canada,Canada,Canada,OFF-STO-10004841,Office Supplies,Fasteners,"Stockwell Paper Clips, Assorted Sizes",10.95,1,0,4.26,1.87,Medium,3,No
49148,CA-2011-3790,6/24/2011,6/27/2011,First Class,CC-2220,Chris Cortes,Consumer,Saskatoon,Saskatchewan,Canada,Canada,Canada,OFF-HON-10001132,Office Supplies,Labels,"Hon Round Labels, Adjustable",9.12,2,0,3.24,1.75,Medium,3,No
49032,CA-2011-5840,5/3/2011,5/9/2011,Standard Class,CC-2475,Cindy Chapman,Consumer,London,Ontario,Canada,Canada,Canada,TEC-STA-10004181,Technology,Machines,"StarTech Inkjet, Durable",600.36,2,0,66,52.98,Medium,6,No
49031,CA-2011-5840,5/3/2011,5/9/2011,Standard Class,CC-2475,Cindy Chapman,Consumer,London,Ontario,Canada,Canada,Canada,OFF-ACC-10000102,Office Supplies,Binders,"Acco Binding Machine, Clear",101.1,2,0,11.1,6.8,Medium,6,No
48406,CA-2014-8740,2/28/2014,3/5/2014,Standard Class,CR-2625,Corey Roper,Home Office,Windsor,Ontario,Canada,Canada,Canada,OFF-GRE-10002738,Office Supplies,Paper,"Green Bar Cards & Envelopes, Premium",48.39,1,0,15,4.67,Medium,5,No
48407,CA-2014-8740,2/28/2014,3/5/2014,Standard Class,CR-2625,Corey Roper,Home Office,Windsor,Ontario,Canada,Canada,Canada,OFF-HON-10003921,Office Supplies,Labels,"Hon Removable Labels, Laser Printer Compatible",20.16,2,0,6.42,1.38,Medium,5,No
48404,CA-2014-8740,2/28/2014,3/5/2014,Standard Class,CR-2625,Corey Roper,Home Office,Windsor,Ontario,Canada,Canada,Canada,OFF-KRA-10002752,Office Supplies,Envelopes,"Kraft Clasp Envelope, Recycled",15.6,2,0,2.46,1.08,Medium,5,No
48405,CA-2014-8740,2/28/2014,3/5/2014,Standard Class,CR-2625,Corey Roper,Home Office,Windsor,Ontario,Canada,Canada,Canada,OFF-ELD-10003918,Office Supplies,Storage,"Eldon Folders, Wire Frame",16.05,1,0,1.59,0.62,Medium,5,No
42147,CA-2014-4170,11/27/2014,12/2/2014,Standard Class,DC-2850,Dan Campbell,Consumer,Oshawa,Ontario,Canada,Canada,Canada,FUR-SAF-10002846,Furniture,Bookcases,"Safco Classic Bookcase, Pine",1758,4,0,70.32,75.28,Medium,5,No
42148,CA-2014-4170,11/27/2014,12/2/2014,Standard Class,DC-2850,Dan Campbell,Consumer,Oshawa,Ontario,Canada,Canada,Canada,TEC-BEL-10002516,Technology,Accessories,"Belkin Mouse, Bluetooth",162.84,4,0,78.12,10.45,Medium,5,No
42149,CA-2014-4170,11/27/2014,12/2/2014,Standard Class,DC-2850,Dan Campbell,Consumer,Oshawa,Ontario,Canada,Canada,Canada,OFF-ELI-10000443,Office Supplies,Supplies,"Elite Shears, Steel",46.41,1,0,21.81,3.35,Medium,5,No
42146,CA-2014-4170,11/27/2014,12/2/2014,Standard Class,DC-2850,Dan Campbell,Consumer,Oshawa,Ontario,Canada,Canada,Canada,OFF-STO-10002026,Office Supplies,Fasteners,"Stockwell Clamps, Bulk Pack",18.84,1,0,1.5,1.75,Medium,5,No
48281,CA-2013-9030,10/4/2013,10/9/2013,Standard Class,DC-2850,Dan Campbell,Consumer,North York,Ontario,Canada,Canada,Canada,OFF-BRE-10003081,Office Supplies,Appliances,"Breville Coffee Grinder, Black",61.29,1,0,21.45,5.2,High,5,No
48282,CA-2013-9030,10/4/2013,10/9/2013,Standard Class,DC-2850,Dan Campbell,Consumer,North York,Ontario,Canada,Canada,Canada,OFF-STO-10003604,Office Supplies,Fasteners,"Stockwell Staples, Metal",43.68,4,0,16.56,4.74,High,5,No
50480,CA-2013-3990,8/17/2013,8/17/2013,Same Day,DL-2865,Dan Lawera,Consumer,Vancouver,British Columbia,Canada,Canada,Canada,OFF-ELD-10000151,Office Supplies,Storage,"Eldon File Cart, Industrial",255.78,2,0,30.66,65.79,High,0,No
44333,CA-2013-4740,8/20/2013,8/23/2013,Second Class,DB-2910,Daniel Byrd,Home Office,Kingston,Ontario,Canada,Canada,Canada,TEC-BRO-10002345,Technology,Copiers,"Brother Ink, Digital",587.76,4,0,146.88,61,High,3,No
44332,CA-2013-4740,8/20/2013,8/23/2013,Second Class,DB-2910,Daniel Byrd,Home Office,Kingston,Ontario,Canada,Canada,Canada,OFF-EAT-10000820,Office Supplies,Paper,"Eaton Message Books, Multicolor",131.94,6,0,60.66,18.09,High,3,No
48412,CA-2013-7630,8/12/2013,8/17/2013,Standard Class,DB-2910,Daniel Byrd,Home Office,Whitby,Ontario,Canada,Canada,Canada,TEC-BEL-10002207,Technology,Accessories,"Belkin Memory Card, USB",460.08,4,0,0,35.03,Medium,5,No
45021,CA-2013-1710,1/22/2013,1/28/2013,Standard Class,DM-2955,Dario Medina,Corporate,Mississauga,Ontario,Canada,Canada,Canada,OFF-STI-10002040,Office Supplies,Supplies,"Stiletto Ruler, Easy Grip",66,4,0,27,4.92,Medium,6,No
45023,CA-2013-1710,1/22/2013,1/28/2013,Standard Class,DM-2955,Dario Medina,Corporate,Mississauga,Ontario,Canada,Canada,Canada,OFF-CAR-10001577,Office Supplies,Binders,"Cardinal Binding Machine, Economy",49.77,1,0,13.92,2.65,Medium,6,No
45022,CA-2013-1710,1/22/2013,1/28/2013,Standard Class,DM-2955,Dario Medina,Corporate,Mississauga,Ontario,Canada,Canada,Canada,OFF-ADV-10003125,Office Supplies,Fasteners,"Advantus Paper Clips, Assorted Sizes",22.8,2,0,3.42,1.69,Medium,6,No
49350,CA-2011-8190,9/26/2011,9/29/2011,Second Class,DP-3000,Darren Powers,Consumer,Kitchener,Ontario,Canada,Canada,Canada,OFF-BIN-10000772,Office Supplies,Art,"Binney & Smith Pencil Sharpener, Water Color",29.85,1,0,6.84,1.01,Medium,3,No
48017,CA-2014-2000,1/7/2014,1/11/2014,Standard Class,DB-3120,David Bremer,Corporate,Montréal,Quebec,Canada,Canada,Canada,FUR-IKE-10003262,Furniture,Bookcases,"Ikea Floating Shelf Set, Traditional",170.34,1,0,10.2,13.44,Medium,4,No
42213,CA-2012-8520,11/23/2012,11/27/2012,Standard Class,DB-3120,David Bremer,Corporate,Hamilton,Ontario,Canada,Canada,Canada,FUR-SAU-10003795,Furniture,Bookcases,"Sauder Corner Shelving, Traditional",294.6,2,0,20.58,19.95,Medium,4,No
47807,CA-2014-7630,12/6/2014,12/10/2014,Standard Class,Dp-3240,Dean percer,Home Office,Burnaby,British Columbia,Canada,Canada,Canada,FUR-HAR-10002632,Furniture,Chairs,"Harbour Creations Chairmat, Adjustable",74.49,1,0,28.29,5.65,High,4,No
44526,CA-2014-580,6/26/2014,6/28/2014,Second Class,Dp-3240,Dean percer,Home Office,Kingston,Ontario,Canada,Canada,Canada,OFF-WIL-10000164,Office Supplies,Binders,"Wilson Jones Binding Machine, Durable",50.46,1,0,0.99,9.65,Critical,2,No
44525,CA-2014-580,6/26/2014,6/28/2014,Second Class,Dp-3240,Dean percer,Home Office,Kingston,Ontario,Canada,Canada,Canada,OFF-NOV-10000808,Office Supplies,Labels,"Novimex Round Labels, Adjustable",4.17,1,0,1.14,0.69,Critical,2,No
50059,CA-2013-7710,1/25/2013,1/29/2013,Standard Class,DL-3330,Denise Leinenbach,Consumer,Brampton,Ontario,Canada,Canada,Canada,OFF-ACM-10001704,Office Supplies,Supplies,"Acme Letter Opener, Serrated",107.64,4,0,7.44,9.85,High,4,No
50058,CA-2013-7710,1/25/2013,1/29/2013,Standard Class,DL-3330,Denise Leinenbach,Consumer,Brampton,Ontario,Canada,Canada,Canada,OFF-KLE-10002340,Office Supplies,Supplies,"Kleencut Shears, Easy Grip",48.39,1,0,0,5.48,High,4,No
49722,CA-2011-8990,3/8/2011,3/12/2011,Standard Class,DK-3375,Dennis Kane,Consumer,Vancouver,British Columbia,Canada,Canada,Canada,OFF-IBI-10004074,Office Supplies,Binders,"Ibico 3-Hole Punch, Clear",59.82,2,0,23.88,5,Medium,4,No
44378,CA-2014-7300,9/22/2014,9/26/2014,Standard Class,DP-3390,Dennis Pardue,Home Office,Toronto,Ontario,Canada,Canada,Canada,OFF-BRE-10004211,Office Supplies,Appliances,"Breville Blender, White",90.99,1,0,19.08,10.72,High,4,No
50773,CA-2013-1260,8/24/2013,8/26/2013,Second Class,DW-3480,Dianna Wilson,Home Office,Guelph,Ontario,Canada,Canada,Canada,TEC-HEW-10003829,Technology,Copiers,"Hewlett Wireless Fax, High-Speed",2270.34,6,0,1112.4,294.25,Medium,2,No
50774,CA-2013-1260,8/24/2013,8/26/2013,Second Class,DW-3480,Dianna Wilson,Home Office,Guelph,Ontario,Canada,Canada,Canada,TEC-BRO-10002103,Technology,Copiers,"Brother Ink, Color",148.74,1,0,72.87,3.23,Medium,2,No
49191,CA-2013-8550,5/6/2013,5/12/2013,Standard Class,DW-3480,Dianna Wilson,Home Office,Toronto,Ontario,Canada,Canada,Canada,OFF-STA-10002654,Office Supplies,Art,"Stanley Pencil Sharpener, Fluorescent",49.56,2,0,15.84,4.29,Low,6,No
41612,CA-2013-8200,5/28/2013,6/4/2013,Standard Class,DJ-3510,Don Jones,Corporate,Windsor,Ontario,Canada,Canada,Canada,OFF-SAN-10001237,Office Supplies,Paper,"SanDisk Cards & Envelopes, Premium",193.68,4,0,73.56,14.85,Medium,7,No
46236,CA-2014-1450,2/11/2014,2/14/2014,First Class,DM-3525,Don Miller,Corporate,Winnipeg,Manitoba,Canada,Canada,Canada,OFF-ROG-10002132,Office Supplies,Storage,"Rogers Lockers, Industrial",212.1,1,0,80.58,65.35,Critical,3,No
46237,CA-2014-1450,2/11/2014,2/14/2014,First Class,DM-3525,Don Miller,Corporate,Winnipeg,Manitoba,Canada,Canada,Canada,OFF-BIN-10000712,Office Supplies,Art,"Binney & Smith Canvas, Blue",102.72,2,0,19.5,13.97,Critical,3,No
46238,CA-2014-1450,2/11/2014,2/14/2014,First Class,DM-3525,Don Miller,Corporate,Winnipeg,Manitoba,Canada,Canada,Canada,OFF-ENE-10003274,Office Supplies,Paper,"Enermax Memo Slips, 8.5 x 11",19.8,1,0,0,5.81,Critical,3,No
41391,CA-2012-220,5/15/2012,5/19/2012,Standard Class,DM-3525,Don Miller,Corporate,Winnipeg,Manitoba,Canada,Canada,Canada,OFF-ROG-10002132,Office Supplies,Storage,"Rogers Lockers, Industrial",848.4,4,0,322.32,44.43,Medium,4,No
46422,CA-2011-4370,9/23/2011,9/30/2011,Standard Class,DW-3540,Don Weiss,Consumer,Toronto,Ontario,Canada,Canada,Canada,OFF-TEN-10002835,Office Supplies,Storage,"Tenex Lockers, Industrial",409.26,2,0,114.54,14.45,Medium,7,No
46421,CA-2011-4370,9/23/2011,9/30/2011,Standard Class,DW-3540,Don Weiss,Consumer,Toronto,Ontario,Canada,Canada,Canada,FUR-DEF-10000622,Furniture,Furnishings,"Deflect-O Light Bulb, Black",18.99,1,0,6.81,1.41,Medium,7,No
42466,CA-2014-1010,8/6/2014,8/8/2014,Second Class,DW-3585,Dorothy Wardle,Corporate,Richmond,British Columbia,Canada,Canada,Canada,OFF-AVE-10004708,Office Supplies,Binders,"Avery Binder, Recycled",26.52,2,0,12.18,0.39,High,2,No
